SITE ID,SITE NAME,COUNTY,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,LS 2016-17,2017,LS 2017-18,2018,LS 2018-19,2019,LS 2019-20,2020,LS 2020-21,2021,LS 2021-22,2022,LS 2022-23,2023,LS 2023-24,,
2830,"Albany Hill, Albany",Alameda,"3,000",85,3,0,0,0,,,350,,0,83,18,9,"2,137",45,12,127,"1,244",875,,768,200,12,8,31,9,7,2,12,9,598,197,305,78,,
2831,"Ardenwood  Historical Farm, Fremont",Alameda,"25,000","5,000",135,"1,530","1,000",,"1,500","2,036",,"1,595",182,683,883,224,"4,188","1,682","1,032","2,061","2,409","2,468","1,256","2,075","1,255",66,0,3,0,3,0,7,2,550,10,444,66,,
3228,Berkeley Aquatic Park,Alameda,,,,,,,,,,,,,,,,,,,"1,325",0,,3,,10,,4,,50,3,14,2,180,18,53,70,,
2832,"Chuck Corica Golf Course, Bay Farm Island",Alameda,,"1,500",,,"3,000","2,000",750,,,"2,250",,0,100,,,"2,171",,"1,010","2,226","1,710","1,392",985,"1,532",70,35,177,0,19,11,14,17,262,33,56,21,,
3290,"Chuck Corica Golf Course, Driving Range",Alameda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,4,0,,
2834,"Coyote Hills, Fremont",Alameda,700,500,210,500,,,300,249,,420,,,72,30,,,0,,,1,,21,,10,0,20,0,0,0,6,1,45,4,120,21,,
3250,Encinal Boat Ramp,Alameda,,,,,,,,,,,,,,,,,,,,,,3,69,24,19,13,15,0,,0,0,9,1,2,2,,
3264,Franklin Park,Alameda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,15,11,21,,
3255,Gill Tract,Alameda,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,7,30,26,10,2,20,4,,
3229,Lake Merritt,Alameda,,,,,,,,,,,,,,,,,,,100,50,,,,34,2,9,6,14,,5,2,5,0,5,0,,
3265,Lincoln Park,Alameda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,44,254,162,,
2836,Newpark Mall (Shirley Sisk Grove),Alameda,,,,,,,,,,,,,,,,,,,,96,112,163,0,0,0,4,0,0,0,0,5,152,0,101,100,,
3191,Oyster Bay Regional Shoreline,Alameda,,,,,,,,,,,,,,,,0,0,20,,253,,19,90,,0,6,10,0,0,1,2,98,6,23,1,,
2833,"San Leandro Golf Course, San Leandro",Alameda,"25,000","20,000","2,000","2,050","1,050","1,000","2,500",,"4,900","5,625","6,000","5,000","5,000","3,000","7,000","4,000","5,000","7,750","12,864","6,675",,"7,817",248,192,5,702,252,,,175,69,"1,419",391,1093,1099,,
2837,"Skywest Golf Course, Hayward",Alameda,,,"5,000","5,600","1,000",,,,,,,,54,0,,37,3,,,160,0,670,,56,,65,,1,,,,494,,1941,1324,,
3289,"Baylands Park, Sunnyvale",Santa Clara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,
3108,Frenchman's Creek,San Mateo,,,,,,,,,,,,,,,,,,,,,,39,,2,0,6,0,0,0,0,0,0,0,,1,,
3110,Martini Creek,San Mateo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,0,,,
3113,Sweetwood,San Mateo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4,,0,22,,,
3107,Verde,San Mateo,,,,,,,,,,,,,,,,,,,,,,20,,0,0,0,0,0,,17,0,0,1,,0,,
3100,"Whitehouse  Creek, Año Nuevo",San Mateo,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,4,,11,0,,,,
2985,"Escalona Gulch, Capitola",Santa Cruz,,"1,200",625,166,105,18,0,9,15,2,0,370,9,4,,200,450,950,950,"2,508",,188,,1,,20,10,0,,20,,25,,144,30,,
2995,"Home of Peace Cemetery,  Santa Cruz",Santa Cruz,,6,6,27,1,,1,5,34,,0,3,,,,,6,30,600,25,,28,,,,25,,2,,12,,12,,,,,
3011,"Lifeguard Headquarters, 14th Ave., Santa Cruz",Santa Cruz,,,,43,13,4,0,21,20,13,7,14,14,,,0,0,2,8,8,,8,,15,,10,,32,,14,,14,,68,,,
3000,"Lighthouse  Field, Santa Cruz",Santa Cruz,"70,000","50,000","9,500","35,000",,"3,200","11,000","9,600","14,000","10,300","5,700","2,607","4,000","4,000","18,100","3,200","4,500","7,000","12,000","12,000","10,214","12,000","13,533","1,802","1,933","3,402","2,600",50,13,410,637,"3,365","2,836",10000,8446,,
2989,Manresa State Beach,Santa Cruz,,,,,,,,,,,,,,,,0,,2,,2,,,,0,,,,,,2,,0,1,,,,
2994,Moore Creek,Santa Cruz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,6,,,,,
2983,"Moran Lake, Moran Lake",Santa Cruz,"70,000","8,000","4,500","4,000","1,500","1,000","6,000","4,500","3,400","6,600","2,200","4,023","2,276","3,000","4,500","2,500",790,"4,300","5,800","4,000","3,965","5,400","8,094","1,373",346,400,30,50,30,"1,100",725,"5,701","4,000",7050,4970,,
2998,"Natural Bridges State Beach, Santa Cruz",Santa Cruz,"120,000","60,000","15,000","20,000","3,000","6,000","5,700","9,600","3,900","7,300","2,700","3,500","1,300","2,300","3,000",500,"4,600","3,400","8,000","3,500",3,"9,000",0,"1,120",765,"1,997",25,550,550,"2,100","1,700","7,500","4,500",6500,6600,,
2986,"New Brighton / Potbelly, Aptos",Santa Cruz,,445,"2,000","2,640",64,8,3,500,617,"2,015",12,35,41,24,,400,"1,145",7,500,250,,300,,10,,5,,0,,30,,20,,100,,,
3009,"Cement Plant Rd and Hwy 1, Davenport",Santa Cruz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,2,18,,,
3010,"Ocean View and Marine Drive, Davenport",Santa Cruz,,,,,,,,,,,,,,,,,,,,"2,417",,"2,876",,694,,167,54,0,,985,,500,192,1510,,,
