station id,water year,year,month,day,daily rain,code,,,,,
361,1933,1933,1,28,0.31,,,,,,
361,1933,1933,1,29,0.30,,,,,,
361,1933,1933,1,30,0.65,,,,,,
361,1933,1933,2,12,0.08,,,,,,
361,1933,1933,2,13,0.04,,,,,,
361,1933,1933,3,17,0.35,,,,,,
361,1933,1933,3,28,0.21,,,,,,
361,1933,1933,4,18,0.20,,,,,,
361,1933,1933,4,28,0.68,,,,,,
361,1933,1933,6,5,0.85,,,,,,
361,1933,1933,6,6,0.05,,,,,,
361,1934,1933,12,3,0.05,,,,,,
361,1934,1933,12,12,0.05,,,,,,
361,1934,1933,12,13,0.65,,,,,,
361,1934,1933,12,14,0.30,,,,,,
361,1934,1933,12,15,0.54,,,,,,
361,1934,1933,12,23,0.25,,,,,,
361,1934,1933,12,31,0.10,,,,,,
361,1934,1934,1,1,0.80,,,,,,
361,1934,1934,2,12,0.25,,,,,,
361,1934,1934,2,20,0.25,,,,,,
361,1934,1934,2,23,0.20,,,,,,
361,1934,1934,2,24,0.45,,,,,,
361,1934,1934,2,26,0.22,,,,,,
361,1934,1934,5,26,0.20,,,,,,
361,1934,1934,5,28,0.25,,,,,,
361,1934,1934,6,5,0.50,,,,,,
361,1934,1934,6,6,0.15,,,,,,
361,1935,1934,10,17,0.30,,,,,,
361,1935,1934,10,18,0.65,,,,,,
361,1935,1934,11,1,0.26,,,,,,
361,1935,1934,11,15,0.23,,,,,,
361,1935,1934,11,18,0.26,,,,,,
361,1935,1934,11,19,0.81,,,,,,
361,1935,1934,12,6,0.03,,,,,,
361,1935,1934,12,13,0.13,,,,,,
361,1935,1934,12,14,1.00,,,,,,
361,1935,1934,12,28,0.52,,,,,,
361,1935,1935,1,4,0.43,,,,,,
361,1935,1935,1,5,1.70,,,,,,
361,1935,1935,1,9,0.79,,,,,,
361,1935,1935,1,10,0.61,,,,,,
361,1935,1935,1,15,0.59,,,,,,
361,1935,1935,1,16,0.09,,,,,,
361,1935,1935,1,17,0.21,,,,,,
361,1935,1935,1,18,0.36,,,,,,
361,1935,1935,2,4,0.45,,,,,,
361,1935,1935,2,5,0.11,,,,,,
361,1935,1935,2,6,0.05,,,,,,
361,1935,1935,2,7,0.20,,,,,,
361,1935,1935,2,14,0.09,,,,,,
361,1935,1935,3,1,0.10,,,,,,
361,1935,1935,3,2,0.15,,,,,,
361,1935,1935,3,3,0.35,,,,,,
361,1935,1935,3,4,0.02,,,,,,
361,1935,1935,3,7,0.98,,,,,,
361,1935,1935,3,8,0.25,,,,,,
361,1935,1935,3,9,0.10,,,,,,
361,1935,1935,3,19,0.05,,,,,,
361,1935,1935,3,21,0.10,,,,,,
361,1935,1935,3,23,0.12,,,,,,
361,1935,1935,3,24,0.80,,,,,,
361,1935,1935,4,3,0.11,,,,,,
361,1935,1935,4,4,0.07,,,,,,
361,1935,1935,4,7,0.18,,,,,,
361,1935,1935,4,8,0.86,,,,,,
361,1935,1935,4,9,0.02,,,,,,
361,1935,1935,4,15,0.06,,,,,,
361,1935,1935,4,16,0.58,,,,,,
361,1935,1935,4,30,0.12,,,,,,
361,1936,1935,10,11,0.15,,,,,,
361,1936,1935,10,14,0.28,,,,,,
361,1936,1935,11,2,0.07,,,,,,
361,1936,1935,11,17,1.90,,,,,,
361,1936,1935,12,3,0.42,,,,,,
361,1936,1935,12,12,0.19,,,,,,
361,1936,1935,12,29,0.51,,,,,,
361,1936,1936,1,9,0.15,,,,,,
361,1936,1936,1,10,0.22,,,,,,
361,1936,1936,1,11,0.12,,,,,,
361,1936,1936,1,12,0.09,,,,,,
361,1936,1936,1,16,0.07,,,,,,
361,1936,1936,2,1,0.20,,,,,,
361,1936,1936,2,2,0.50,,,,,,
361,1936,1936,2,11,0.37,,,,,,
